status,weather,frecventa_hz,tensiune_kv,flux_intrare_mw,flux_iesire_mw,timestamp,nivel_severitate
1,0,50.0026,399.5,491,470.36,104,0
1,0,49.9939,399.45,490,470.4,105,0
1,0,50.0001,400.3,507,484.72,106,0
1,0,49.9936,400.71,499,481.04,107,0
1,0,50.0051,399.21,493,476.28,108,0
1,0,50.0089,400.73,513,492.48,109,0
1,0,49.9932,399.68,498,477.08,110,0
1,0,50.003,399.31,503,484.88,111,0
1,0,49.9977,400.17,503,479.88,112,0
1,0,50.0079,399.01,509,489.64,113,0
1,0,50.007,400.08,496,475.16,114,0
1,0,49.9944,399.37,489,472.44,115,0
1,0,49.9995,400.77,499,474.04,116,0
1,0,49.991,400.38,489,466.44,117,0
1,0,50.0034,399.33,492,467.32,118,0
1,0,50.0051,400.31,488,469.48,119,0
1,0,50.0045,400.59,500,479.0,120,0
1,0,49.9901,399.48,504,485.84,121,0
1,0,50.0064,400.37,491,471.36,122,0
1,0,50.0048,400.12,497,476.12,123,0
1,0,50.0063,399.25,499,476.04,124,0
1,0,50.0011,400.77,486,467.56,125,0
1,0,50.0007,399.23,496,480.16,126,0
1,0,49.9965,399.73,513,492.48,127,0
1,0,50.0092,400.39,501,479.96,128,0
1,0,49.9941,400.12,487,471.52,129,0
1,0,50.0087,400.72,512,494.52,130,0
1,0,49.9911,399.18,494,472.24,131,0
1,0,49.9916,399.68,505,487.8,132,0
1,0,50.0064,399.28,507,482.72,133,0
1,0,49.9956,400.07,485,466.6,134,0
1,0,49.9948,400.38,504,480.84,135,0
1,0,50.0081,399.1,499,474.04,136,0
1,0,50.0023,399.95,489,466.44,137,0
1,0,50.0036,399.68,513,491.48,138,0
1,0,50.0028,400.7,514,489.44,139,0
1,0,50.0082,400.64,488,469.48,140,0
1,0,49.9997,399.79,497,474.12,141,0
1,0,50.0072,400.16,489,466.44,142,0
1,0,50.0086,399.91,486,470.56,143,0
1,0,50.0049,400.31,503,486.88,144,0
1,0,49.9908,400.95,505,484.8,145,0
1,0,50.0062,399.96,496,471.16,146,0
1,0,49.9906,400.99,508,482.68,147,0
1,0,50.0023,399.47,503,484.88,148,0
1,0,49.9968,399.93,488,468.48,149,0
1,0,49.9917,400.87,504,481.84,150,0
1,0,50.002,399.58,496,480.16,151,0
1,0,50.0079,399.83,497,476.12,152,0
1,0,49.9933,400.53,499,479.04,153,0
1,0,50.0041,400.9,488,471.48,154,0
1,0,49.9924,399.57,510,484.6,155,0
1,0,50.0031,400.43,501,480.96,156,0
1,0,49.9982,399.95,491,474.36,157,0
1,0,50.0016,400.41,498,482.08,158,0
1,0,50.0068,399.86,504,483.84,159,0
1,0,50.0066,400.19,494,478.24,160,0
1,0,50.0076,400.64,503,478.88,161,0
1,0,50.0001,400.98,514,488.44,162,0
1,0,49.9995,400.09,487,467.52,163,0
1,0,50.0,399.21,501,481.96,164,0
1,0,49.9952,399.94,504,479.84,165,0
1,0,49.9913,399.44,492,475.32,166,0
1,0,50.0038,399.88,497,480.12,167,0
1,0,50.0027,400.0,513,491.48,168,0
1,0,50.0088,399.22,513,489.48,169,0
1,0,49.9997,400.84,502,485.92,170,0
1,0,50.0015,400.24,497,478.12,171,0
1,0,50.0038,400.15,499,477.04,172,0
1,0,50.0085,399.96,512,488.52,173,0
1,0,50.0061,399.65,512,490.52,174,0
1,0,49.9994,400.01,506,485.76,175,0
1,0,49.9951,400.89,514,493.44,176,0
1,0,49.9916,400.42,514,493.44,177,0
1,0,49.9915,399.55,499,475.04,178,0
1,0,49.9945,400.02,512,493.52,179,0
1,0,50.002,399.88,498,479.08,180,0
1,0,49.9903,400.72,510,493.6,181,0
1,0,50.001,399.02,494,473.24,182,0
1,0,50.0042,399.02,507,490.72,183,0
1,0,49.9945,399.87,514,493.44,184,0
1,0,49.9941,399.67,511,486.56,185,0
1,0,50.0087,400.38,486,466.56,186,0
1,0,50.0088,399.61,487,462.52,187,0
1,0,49.9926,400.16,509,487.64,188,0
1,0,50.0069,400.57,512,486.52,189,0
1,0,49.9986,400.18,495,475.2,190,0
1,0,50.0079,400.43,506,480.76,191,0
1,0,50.0049,400.82,500,480.0,192,0
1,0,49.9908,399.83,514,496.44,193,0
1,0,50.0072,400.83,494,477.24,194,0
1,0,50.0032,399.31,505,484.8,195,0
1,0,50.0019,399.11,497,478.12,196,0
1,0,50.0073,400.1,492,476.32,197,0
1,0,50.0,400.2,486,467.56,198,0
1,1,49.941,396.39,503,479.88,199,1
1,1,49.9574,395.62,501,484.96,200,1
1,1,49.954,396.29,507,490.72,201,1
1,1,49.9595,395.74,498,475.08,202,1
1,1,49.9544,396.08,499,482.04,203,1
1,1,49.9641,394.73,494,477.24,204,1
1,1,49.9596,394.7,498,479.08,205,1
1,1,49.9459,396.32,508,490.68,206,1
1,1,49.9532,395.67,511,489.56,207,1
1,1,49.9475,395.22,512,493.52,208,1
1,1,49.9461,395.31,496,480.16,209,1
1,1,49.9553,394.26,512,490.52,210,1
1,1,49.9503,396.48,510,485.6,211,1
1,1,49.9677,396.8,487,466.52,212,1
1,1,49.9568,395.24,491,474.36,213,1
1,1,49.949,395.92,507,487.72,214,1
1,1,49.9504,394.99,506,485.76,215,1
1,1,49.963,394.37,511,488.56,216,1
1,1,49.9621,394.24,500,482.0,217,1
1,1,49.9666,395.43,513,496.48,218,1
1,1,49.9522,395.17,494,474.24,219,1
1,1,49.9637,396.47,498,475.08,220,1
1,0,50.0024,399.41,486,470.56,221,0
1,0,49.9918,400.63,492,468.32,222,0
1,0,50.0099,399.44,497,477.12,223,0
1,0,49.9966,399.64,514,489.44,224,0
1,0,49.9936,400.73,504,487.84,225,0
1,0,49.9926,399.31,514,494.44,226,0
1,0,49.9916,399.71,487,468.52,227,0
1,0,50.005,400.09,490,469.4,228,0
1,0,50.0048,400.12,501,477.96,229,0
1,0,50.0076,400.51,502,485.92,230,0
1,0,50.0012,399.2,508,489.68,231,0
1,0,49.9946,400.86,513,495.48,232,0
1,0,49.9951,400.7,507,484.72,233,0
1,0,50.0082,400.07,500,476.0,234,0
1,0,50.0031,399.11,500,484.0,235,0
1,0,50.0047,400.91,509,484.64,236,0
1,0,50.0071,399.82,488,467.48,237,0
1,0,50.0097,399.3,502,480.92,238,0
1,0,50.009,399.64,500,479.0,239,0
1,0,50.0067,399.58,509,483.64,240,0
1,0,50.0076,400.02,486,470.56,241,0
1,0,49.9978,400.6,500,483.0,242,0
1,0,49.9999,400.41,502,477.92,243,0
1,0,50.0097,400.57,512,489.52,244,0
1,0,50.0098,399.68,508,482.68,245,0
1,0,50.0045,399.41,491,468.36,246,0
1,0,49.9956,400.03,488,464.48,247,0
1,0,50.0096,400.56,508,491.68,248,0
1,0,50.0009,400.31,492,471.32,249,0
1,0,49.9904,400.57,513,488.48,250,0
1,0,50.0032,400.15,514,488.44,251,0
1,0,49.9948,400.02,510,489.6,252,0
1,0,49.9931,400.03,487,465.52,253,0
1,0,49.9983,399.57,491,474.36,254,0
1,0,49.9999,400.56,498,474.08,255,0
1,0,50.0053,399.45,506,482.76,256,0
1,0,49.9993,399.19,496,471.16,257,0
1,0,50.0027,399.15,507,484.72,258,0
1,0,49.9912,401.0,487,467.52,259,0
1,0,49.9952,399.29,511,494.56,260,0
1,0,50.006,399.1,486,470.56,261,0
1,0,50.0094,400.08,512,491.52,262,0
1,0,50.0089,399.31,489,471.44,263,0
1,0,49.9949,400.1,501,478.96,264,0
1,0,49.9965,400.96,495,470.2,265,0
1,0,49.9934,399.77,513,496.48,266,0
1,0,49.9905,400.92,514,494.44,267,0
1,0,50.0049,400.74,501,476.96,268,0
1,0,50.0011,400.0,492,470.32,269,0
1,0,50.0084,399.76,512,490.52,270,0
1,0,49.9959,400.42,491,475.36,271,0
0,4,0.0,0.0,0,0.0,272,0
1,0,50.0049,400.76,501,481.96,273,0
1,0,50.002,399.43,499,479.04,274,0
1,0,49.9985,399.15,504,487.84,275,0
1,0,49.9937,399.99,508,482.68,276,0
1,0,49.997,400.12,499,475.04,277,0
1,0,49.9941,400.82,511,486.56,278,0
1,0,49.9968,399.73,485,462.6,279,0
1,0,49.9935,399.94,491,473.36,280,0
1,1,49.9469,395.48,492,472.32,281,1
1,1,49.9664,394.05,487,470.52,282,1
1,1,49.9695,394.03,490,465.4,283,1
1,1,49.9463,395.0,507,481.72,284,1
1,1,49.966,395.4,509,488.64,285,1
1,1,49.9551,395.88,508,484.68,286,1
1,1,49.9664,395.19,511,486.56,287,1
1,1,49.9574,395.84,496,479.16,288,1
1,1,49.9443,395.29,486,464.56,289,1
1,1,49.9606,395.7,493,476.28,290,1
1,1,49.9665,394.06,509,486.64,291,1
1,1,49.9535,395.83,501,477.96,292,1
1,1,49.9577,396.11,503,485.88,293,1
1,1,49.9581,394.36,503,483.88,294,1
1,1,49.9402,394.08,503,480.88,295,1
1,1,49.9687,395.55,491,471.36,296,1
1,1,49.965,396.08,488,463.48,297,1
1,1,49.961,395.38,491,471.36,298,1
1,1,49.969,394.96,503,484.88,299,1
1,1,49.9478,395.0,488,465.48,300,1
1,1,49.9483,394.94,500,480.0,301,1
1,1,49.9649,394.61,513,492.48,302,1
1,1,49.9578,394.7,500,484.0,303,1
1,1,49.9546,394.17,509,492.64,304,1
1,1,49.963,394.67,512,489.52,305,1
1,1,49.9643,395.26,504,480.84,306,1
1,1,49.9686,396.75,514,490.44,307,1
1,1,49.9564,396.09,488,468.48,308,1
1,1,49.9524,394.04,502,476.92,309,1
1,1,49.9685,396.02,514,489.44,310,1
1,1,49.9598,396.64,509,490.64,311,1
1,1,49.9526,394.56,504,479.84,312,1
1,1,49.9502,395.88,486,468.56,313,1
1,1,49.9481,395.69,491,475.36,314,1
1,0,49.9902,400.53,509,491.64,315,0
1,0,50.0016,399.94,485,460.6,316,0
1,0,50.0084,400.38,510,487.6,317,0
1,0,49.9985,400.61,509,487.64,318,0
1,0,49.993,399.75,513,491.48,319,0
1,0,49.9996,399.1,511,487.56,320,0
1,0,49.9948,400.96,507,486.72,321,0
1,0,50.008,399.51,489,465.44,322,0
1,0,49.9957,399.88,495,477.2,323,0
1,0,50.001,400.76,500,483.0,324,0
1,0,49.9972,400.6,494,473.24,325,0
1,0,50.0071,399.57,513,490.48,326,0
1,0,49.9918,400.56,496,471.16,327,0
1,0,49.9932,399.81,503,482.88,328,0
1,0,49.9931,399.52,490,471.4,329,0
1,0,49.994,399.8,502,483.92,330,0
1,0,49.999,399.57,492,470.32,331,0
1,0,49.9932,400.58,495,477.2,332,0
1,0,49.9912,400.51,509,485.64,333,0
1,0,50.0007,399.33,502,478.92,334,0
1,0,49.9934,399.87,487,466.52,335,0
1,0,49.9928,400.42,490,469.4,336,0
1,0,49.996,399.18,514,489.44,337,0
1,0,49.9957,400.86,506,483.76,338,0
1,0,50.0093,400.74,496,475.16,339,0
1,0,50.0017,399.85,489,473.44,340,0
1,0,49.9937,400.15,493,470.28,341,0
1,0,50.0007,400.66,513,490.48,342,0
1,0,49.9963,399.43,503,485.88,343,0
1,0,50.0067,400.91,489,468.44,344,0
1,0,49.9939,400.56,490,473.4,345,0
1,0,50.0083,400.98,505,481.8,346,0
1,0,49.9931,399.04,490,473.4,347,0
1,0,49.9976,400.39,513,496.48,348,0
1,0,50.0062,399.37,512,486.52,349,0
1,0,49.9936,399.95,508,488.68,350,0
1,0,50.0029,399.89,494,476.24,351,0
1,0,50.0003,400.04,489,472.44,352,0
1,0,50.0041,399.41,506,480.76,353,0
1,0,50.0012,400.74,500,484.0,354,0
1,0,49.9988,400.38,508,482.68,355,0
1,0,49.9947,400.27,510,488.6,356,0
1,0,49.9994,399.03,513,490.48,357,0
1,0,50.0027,399.58,499,479.04,358,0
1,0,50.0014,400.82,495,476.2,359,0
1,0,50.0,400.75,512,486.52,360,0
1,1,49.9582,395.34,503,484.88,361,1
1,1,49.9617,396.22,486,469.56,362,1
1,1,49.9509,395.19,495,474.2,363,1
1,1,49.9582,396.7,495,470.2,364,1
1,1,49.9489,395.86,485,461.6,365,1
1,1,49.9404,395.89,494,473.24,366,1
1,1,49.9514,394.67,497,477.12,367,1
1,1,49.9476,396.53,514,497.44,368,1
1,1,49.9535,396.95,506,482.76,369,1
1,1,49.9459,396.85,496,479.16,370,1
1,1,49.9438,395.14,492,470.32,371,1
1,0,49.9993,399.76,485,467.6,372,0
1,0,50.0009,400.52,493,475.28,373,0
1,0,49.9947,400.34,503,483.88,374,0
1,1,49.9449,395.02,489,466.44,375,1
1,1,49.9676,395.8,507,482.72,376,1
1,1,49.9539,395.24,489,466.44,377,1
1,1,49.9483,395.44,509,489.64,378,1
1,1,49.9684,396.25,486,462.56,379,1
1,1,49.9602,394.9,494,471.24,380,1
1,0,49.9919,400.19,500,480.0,381,0
1,0,49.9977,400.34,490,465.4,382,0
1,0,50.0037,399.99,485,468.6,383,0
1,0,49.9994,399.21,506,481.76,384,0
1,0,50.0021,400.71,511,492.56,385,0
1,0,50.0037,400.43,499,478.04,386,0
1,0,49.9901,400.15,506,488.76,387,0
1,0,49.9993,399.75,489,469.44,388,0
1,0,49.9963,399.17,511,487.56,389,0
1,0,50.0039,399.82,509,484.64,390,0
1,0,49.9924,400.4,496,478.16,391,0
1,0,50.0043,400.18,508,483.68,392,0
1,0,50.0034,400.21,501,478.96,393,0
1,0,50.0085,400.03,497,476.12,394,0
1,0,50.0079,400.7,504,487.84,395,0
1,0,49.992,399.07,489,473.44,396,0
1,0,50.0008,399.79,509,491.64,397,0
1,0,49.9949,400.52,488,468.48,398,0
1,0,49.9944,400.53,514,495.44,399,0
1,0,49.9901,399.14,494,474.24,400,0
1,0,49.9923,400.38,495,470.2,401,0
1,0,49.9949,400.49,491,474.36,402,0
1,0,50.0003,400.67,499,482.04,403,0
1,0,50.0087,400.02,503,485.88,404,0
1,0,50.0017,400.67,489,466.44,405,0
1,0,49.9974,400.73,485,462.6,406,0
1,0,50.0026,400.84,500,481.0,407,0
1,0,49.9917,400.76,498,476.08,408,0
1,0,50.0088,399.4,494,471.24,409,0
1,0,49.9946,399.91,508,485.68,410,0
1,0,49.9976,400.18,513,491.48,411,0
1,0,49.9903,400.78,506,484.76,412,0
1,0,49.9935,399.41,485,463.6,413,0
1,0,49.9982,399.4,488,471.48,414,0
1,0,49.9967,399.93,505,480.8,415,0
1,0,50.0057,399.86,496,479.16,416,0
1,0,50.0092,400.88,486,468.56,417,0
1,0,49.9996,400.61,511,489.56,418,0
1,0,49.9967,400.2,486,463.56,419,0
1,0,50.0007,399.67,491,473.36,420,0
1,0,50.0038,399.69,498,473.08,421,0
1,0,50.0036,400.15,486,466.56,422,0
1,0,50.0077,399.12,499,477.04,423,0
1,0,50.0002,400.88,491,471.36,424,0
1,0,49.997,400.8,487,462.52,425,0
1,0,49.9918,399.47,497,475.12,426,0
1,0,49.9905,400.25,512,491.52,427,0
1,0,50.009,400.92,492,469.32,428,0
1,0,50.0078,399.77,509,485.64,429,0
1,0,49.9902,399.75,496,472.16,430,0
1,0,50.0082,399.77,501,479.96,431,0
1,0,50.0061,399.48,491,468.36,432,0
1,0,50.0063,400.33,500,477.0,433,0
1,0,49.995,400.94,512,487.52,434,0
1,0,50.0045,399.28,489,468.44,435,0
1,0,49.9959,400.61,489,472.44,436,0
1,0,50.0044,399.16,499,478.04,437,0
1,0,50.0017,400.03,508,487.68,438,0
1,0,50.0033,400.43,506,481.76,439,0
1,0,49.995,399.68,490,466.4,440,0
1,0,49.9979,399.6,487,464.52,441,0
1,0,50.0062,400.08,514,494.44,442,0
1,0,49.9925,399.83,491,468.36,443,0
1,0,49.9981,399.18,514,493.44,444,0
1,0,49.9973,400.06,492,467.32,445,0
1,0,49.9936,399.6,506,486.76,446,0
1,0,49.9958,400.46,494,477.24,447,0
1,0,50.0073,400.29,499,475.04,448,0
1,0,50.0012,399.68,494,475.24,449,0
1,0,50.0064,400.61,490,474.4,450,0
1,0,50.0082,399.36,492,469.32,451,0
1,0,50.0074,400.36,508,489.68,452,0
1,0,49.9937,400.82,511,494.56,453,0
1,0,49.9955,399.16,500,476.0,454,0
1,0,49.9939,399.95,504,487.84,455,0
1,0,49.9994,399.42,487,462.52,456,0
1,0,50.002,400.95,492,476.32,457,0
1,0,49.9919,400.09,510,493.6,458,0
1,0,50.0096,400.98,494,478.24,459,0
1,0,50.0076,400.44,514,490.44,460,0
1,0,49.9938,400.81,486,469.56,461,0
1,0,50.0058,400.82,501,481.96,462,0
1,0,50.0085,399.63,493,475.28,463,0
1,0,50.0066,399.42,514,490.44,464,0
1,0,49.997,399.5,487,462.52,465,0
1,0,49.9901,400.49,498,474.08,466,0
1,0,49.9993,399.42,504,482.84,467,0
1,0,50.0043,399.9,495,478.2,468,0
1,0,49.9961,399.99,500,482.0,469,0
1,0,50.0088,400.55,498,479.08,470,0
1,0,49.9926,400.07,510,488.6,471,0
1,0,50.0093,399.72,495,477.2,472,0
1,0,49.9946,400.61,488,472.48,473,0
1,0,49.9904,400.38,498,475.08,474,0
1,0,49.9983,400.4,507,484.72,475,0
1,0,50.0073,399.24,490,465.4,476,0
1,0,49.9952,400.17,493,472.28,477,0
1,0,49.9937,399.03,490,470.4,478,0
1,0,50.0098,399.45,496,478.16,479,0
1,0,49.9931,400.11,489,473.44,480,0
1,0,50.005,399.1,505,481.8,481,0
1,0,49.9941,400.42,496,480.16,482,0
1,0,50.0063,400.94,507,486.72,483,0
1,0,49.9904,399.07,503,478.88,484,0
1,0,49.9929,400.59,502,485.92,485,0
1,0,50.0028,400.44,491,466.36,486,0
1,0,49.9953,400.69,493,472.28,487,0
1,0,49.9953,399.35,500,480.0,488,0
1,0,50.0096,400.01,497,478.12,489,0
1,0,50.0021,400.21,485,464.6,490,0
1,0,50.0072,399.58,492,472.32,491,0
1,0,49.9985,399.79,507,484.72,492,0
1,0,50.0052,399.24,494,476.24,493,0
1,0,50.0084,400.02,487,463.52,494,0
1,0,49.9931,400.51,500,476.0,495,0
1,0,49.9921,399.67,486,468.56,496,0
1,0,49.9944,400.53,505,480.8,497,0
1,0,50.0004,400.62,486,466.56,498,0
1,0,50.0073,399.78,505,485.8,499,0
1,0,50.001,399.34,488,470.48,500,0
1,0,50.0044,400.88,505,480.8,501,0
1,0,49.9971,399.51,502,483.92,502,0
1,0,50.0009,399.16,495,477.2,503,0
1,0,49.9999,400.68,505,483.8,504,0
1,0,50.0073,400.6,514,492.44,505,0
1,0,50.0015,399.46,498,482.08,506,0
1,0,49.9974,399.79,512,487.52,507,0
1,0,50.0014,400.11,506,489.76,508,0
1,0,50.0067,400.15,512,489.52,509,0
1,0,50.0058,400.59,502,480.92,510,0
1,0,50.0094,400.1,485,467.6,511,0
1,0,49.9953,400.44,508,488.68,512,0
1,0,49.9928,400.34,501,481.96,513,0
1,0,50.0048,399.28,490,468.4,514,0
1,0,50.0058,399.12,510,493.6,515,0
1,0,50.0072,399.98,507,484.72,516,0
1,0,49.9909,400.88,511,490.56,517,0
1,0,50.0066,399.67,497,480.12,518,0
1,0,49.9951,399.14,488,470.48,519,0
1,0,50.0048,400.48,503,482.88,520,0
1,0,49.9939,399.03,513,490.48,521,0
1,0,49.9901,400.91,496,471.16,522,0
1,0,50.0095,399.44,491,469.36,523,0
1,0,50.0047,399.16,504,479.84,524,0
1,0,50.0096,400.8,500,477.0,525,0
1,0,49.9978,399.9,488,469.48,526,0
1,0,49.9985,400.66,499,478.04,527,0
1,0,49.9956,399.23,485,469.6,528,0
1,0,50.0042,399.68,504,485.84,529,0
1,0,49.9901,400.75,511,493.56,530,0
1,0,49.9987,399.66,501,483.96,531,0
1,0,50.0049,399.38,491,466.36,532,0
1,0,49.9916,400.91,490,466.4,533,0
1,0,49.9996,400.56,502,479.92,534,0
1,0,50.0005,399.29,499,480.04,535,0
1,0,50.0049,399.44,509,484.64,536,0
1,0,50.0084,399.34,511,486.56,537,0
1,0,50.0067,399.64,486,467.56,538,0
1,0,50.0095,400.56,506,482.76,539,0
1,0,49.9927,399.03,505,486.8,540,0
1,0,50.0,399.91,504,481.84,541,0
1,0,50.0049,400.79,501,480.96,542,0
1,0,50.001,400.16,508,484.68,543,0
1,0,50.006,400.39,508,490.68,544,0
1,0,49.9937,400.85,491,473.36,545,0
1,0,50.0057,400.59,513,492.48,546,0
1,0,50.0012,399.59,491,471.36,547,0
1,0,49.9928,400.38,487,465.52,548,0
1,0,49.9929,399.97,486,464.56,549,0
1,0,50.0062,400.52,507,481.72,550,0
1,0,49.9962,399.47,509,491.64,551,0
1,0,49.9926,399.81,503,486.88,552,0
1,0,49.9938,399.12,505,480.8,553,0
1,0,49.9913,399.11,508,489.68,554,0
1,0,50.0091,400.43,510,484.6,555,0
1,0,50.0067,400.12,506,488.76,556,0
1,0,50.0063,399.12,501,482.96,557,0
1,0,50.0019,399.4,507,485.72,558,0
1,0,50.0043,400.69,513,488.48,559,0
1,0,50.0055,400.98,500,481.0,560,0
1,0,50.0031,400.82,495,470.2,561,0
1,0,50.0062,399.92,495,478.2,562,0
1,0,49.9979,399.11,506,485.76,563,0
1,0,49.9912,400.61,497,476.12,564,0
1,0,50.0048,399.35,488,469.48,565,0
1,0,49.9912,399.24,487,462.52,566,0
1,0,49.9985,399.54,505,488.8,567,0
1,0,49.9924,400.69,506,488.76,568,0
1,0,49.9973,400.79,499,483.04,569,0
1,0,50.002,399.15,506,482.76,570,0
1,0,50.006,400.5,487,471.52,571,0
1,0,49.9989,400.69,495,471.2,572,0
1,0,49.9976,400.8,487,470.52,573,0
1,0,49.9919,399.05,494,473.24,574,0
1,0,50.0045,400.42,491,473.36,575,0
1,0,49.9909,400.24,490,470.4,576,0
1,0,49.9924,399.3,514,496.44,577,0
1,0,50.0021,399.02,500,484.0,578,0
0,4,0.0,0.0,0,0.0,579,0
1,0,49.9945,400.81,501,483.96,580,0
1,0,49.9907,399.19,505,483.8,581,0
1,0,49.9906,400.63,512,489.52,582,0
1,0,49.9972,400.76,511,493.56,583,0
1,0,50.0058,399.15,488,468.48,584,0
1,0,49.9991,399.95,507,484.72,585,0
1,0,50.0065,400.24,499,481.04,586,0
1,0,49.9998,400.64,498,480.08,587,0
1,0,49.994,399.69,509,487.64,588,0
1,0,50.0059,400.25,487,466.52,589,0
1,0,49.991,399.63,499,477.04,590,0
1,0,49.9985,399.63,499,482.04,591,0
1,0,50.0095,400.57,496,479.16,592,0
1,0,50.0039,399.56,505,485.8,593,0
1,0,49.9942,400.25,506,486.76,594,0
1,0,50.0018,400.28,493,472.28,595,0
1,0,50.0013,399.55,512,493.52,596,0
1,0,49.9985,400.4,489,466.44,597,0
1,0,49.9914,400.32,512,495.52,598,0
1,0,49.9949,399.88,504,481.84,599,0
1,0,50.0091,399.67,514,488.44,600,0
1,0,49.9997,399.64,490,467.4,601,0
1,0,50.0088,400.06,510,486.6,602,0
1,0,49.9995,400.8,485,466.6,603,0
1,0,49.9913,399.2,490,468.4,604,0
1,0,50.0071,399.53,497,479.12,605,0
