status,weather,frecventa_hz,tensiune_kv,flux_intrare_mw,flux_iesire_mw,nivel_severitate
ON,Senin,50.0,400.0,496,507,0
ON,Senin,50.0061,400.0,510,489,1
ON,Senin,50.0,400.0,494,479,0
ON,Senin,50.0,400.0,497,495,0
ON,Furtuna,49.9623,400.0,501,478,2
ON,Senin,50.0,400.0,519,498,0
ON,Senin,50.0064,400.0,508,471,1
ON,Furtuna,49.9339,400.0,492,451,2
ON,Senin,50.0176,400.0,499,481,1
ON,Senin,50.0,400.0,501,468,0
ON,Senin,50.0175,400.0,489,495,1
ON,Senin,50.0069,400.0,484,484,1
ON,Senin,50.0,400.0,508,463,0
ON,Tornada,49.6065,350.0,488,488,4
ON,Senin,50.0,400.0,486,488,0
ON,Senin,50.0,400.0,511,467,0
ON,Senin,50.0,400.0,492,496,0
ON,Senin,50.0,400.0,511,486,0
ON,Viscol,50.005,390.0,490,504,3
ON,Viscol,50.0347,390.0,515,455,3
ON,Senin,50.0,400.0,484,505,0
ON,Senin,50.0,400.0,484,460,0
ON,Senin,49.9966,400.0,507,503,1
ON,Senin,49.9851,400.0,491,504,1
ON,Senin,50.0199,400.0,501,500,1
ON,Senin,50.0,400.0,503,454,0
ON,Senin,50.019,400.0,503,450,1
OFF,Inundatie,0.0,0.0,0,0,5
ON,Senin,50.0,400.0,509,468,0
ON,Senin,50.0,400.0,480,500,0
ON,Senin,49.9956,400.0,507,470,1
ON,Senin,50.0,400.0,496,492,0
ON,Senin,50.0,400.0,519,486,0
ON,Senin,50.0,400.0,487,479,0
OFF,Inundatie,0.0,0.0,0,0,5
ON,Senin,50.0,400.0,490,481,0
ON,Senin,50.0,400.0,507,497,0
ON,Tornada,49.551,350.0,510,494,4
ON,Senin,50.0063,400.0,480,459,1
ON,Senin,49.9905,400.0,485,504,1
ON,Senin,50.0,400.0,518,458,0
ON,Senin,50.0,400.0,514,490,0
ON,Tornada,49.703,350.0,512,471,4
OFF,Inundatie,0.0,0.0,0,0,5
ON,Tornada,49.9812,350.0,506,464,4
ON,Senin,50.0109,400.0,519,491,1
ON,Senin,50.0,400.0,486,490,0
ON,Senin,50.0,400.0,491,453,0
ON,Tornada,50.2547,350.0,508,493,4
ON,Senin,50.0,400.0,488,474,0
ON,Senin,49.9884,400.0,504,499,1
ON,Senin,50.0,400.0,487,494,0
ON,Senin,50.0,400.0,517,495,0
ON,Furtuna,49.9301,400.0,517,497,2
ON,Senin,50.0,400.0,515,474,0
ON,Senin,49.9905,400.0,505,494,1
ON,Senin,50.0175,400.0,481,491,1
ON,Furtuna,49.9291,400.0,493,498,2
ON,Tornada,50.4803,350.0,483,506,4
ON,Senin,50.0035,400.0,496,478,1
ON,Senin,50.0,400.0,482,490,0
ON,Senin,50.0,400.0,501,461,0
ON,Senin,50.0,400.0,491,503,0
ON,Senin,50.0088,400.0,489,495,1
ON,Viscol,50.0285,390.0,490,473,3
ON,Furtuna,49.9652,400.0,492,467,2
ON,Senin,50.0,400.0,510,455,0
ON,Senin,50.0091,400.0,506,493,1
ON,Senin,50.0,400.0,485,450,0
ON,Senin,50.0,400.0,505,452,0
ON,Senin,50.0,400.0,513,465,0
ON,Senin,50.0,400.0,517,473,0
ON,Senin,50.0,400.0,518,458,0
ON,Senin,50.0116,400.0,498,461,1
ON,Senin,50.0,400.0,498,477,0
ON,Tornada,50.1074,350.0,493,496,4
ON,Senin,50.0,400.0,484,455,0
ON,Senin,50.0,400.0,482,470,0
ON,Senin,50.0,400.0,506,476,0
ON,Senin,50.0,400.0,488,506,0
ON,Furtuna,50.0033,400.0,513,456,2
ON,Senin,50.0,400.0,501,473,0
ON,Senin,50.0,400.0,513,503,0
ON,Senin,50.0,400.0,506,498,0
ON,Senin,50.0,400.0,511,454,0
ON,Senin,50.0,400.0,507,507,0
ON,Senin,50.0,400.0,516,486,0
OFF,Inundatie,0.0,0.0,0,0,5
ON,Senin,50.0,400.0,509,471,0
ON,Tornada,49.5059,350.0,514,468,4
ON,Senin,50.0,400.0,509,495,0
ON,Senin,50.0,400.0,505,502,0
ON,Senin,50.0,400.0,487,501,0
ON,Senin,50.0,400.0,500,475,0
ON,Furtuna,49.9718,400.0,502,455,2
ON,Furtuna,50.0435,400.0,504,463,2
ON,Furtuna,49.9847,400.0,501,482,2
ON,Furtuna,50.0195,400.0,480,494,2
ON,Senin,50.0,400.0,498,476,0
ON,Senin,50.0,400.0,514,506,0
ON,Senin,50.0,400.0,495,482,0
ON,Senin,50.0,400.0,494,508,0
ON,Senin,50.0,400.0,509,466,0
ON,Senin,50.0,400.0,480,493,0
ON,Senin,50.0,400.0,486,474,1
ON,Senin,50.0,400.0,493,482,0
ON,Senin,50.0,400.0,511,497,0
ON,Senin,50.0,400.0,506,460,0
ON,Viscol,49.8907,390.0,511,484,3
ON,Senin,50.0,400.0,518,455,0
ON,Senin,50.0,400.0,492,479,0
ON,Senin,50.0071,400.0,514,504,1
ON,Senin,50.0,400.0,507,504,0
ON,Senin,49.9923,400.0,519,494,1
ON,Senin,49.9945,400.0,482,468,1
ON,Senin,50.0,400.0,516,463,0
ON,Senin,50.0,400.0,495,506,0
ON,Senin,50.0,400.0,488,476,0
ON,Senin,50.0,400.0,486,454,0
ON,Senin,50.0,400.0,481,496,0
ON,Senin,50.0,400.0,519,500,0
ON,Senin,50.0,400.0,488,494,0
ON,Viscol,50.1374,390.0,510,488,3
ON,Senin,50.0,400.0,482,498,0
ON,Senin,50.0,400.0,518,476,0
ON,Senin,50.0,400.0,481,473,0
ON,Senin,50.0,400.0,491,462,0
ON,Furtuna,50.0703,400.0,517,503,2
ON,Furtuna,50.0702,400.0,498,506,2
ON,Senin,50.0,400.0,495,465,0
ON,Senin,50.0189,400.0,480,476,1
ON,Senin,50.0,400.0,494,494,0
ON,Senin,50.0,400.0,495,496,0
ON,Senin,50.0,400.0,503,499,0
ON,Senin,50.0,400.0,496,457,0
ON,Viscol,49.8512,390.0,485,463,3
ON,Senin,50.0,400.0,483,489,0
ON,Senin,50.0,400.0,519,465,0
ON,Senin,50.0153,400.0,507,471,1
ON,Senin,49.986,400.0,505,472,1
ON,Senin,50.0,400.0,518,494,0
ON,Furtuna,49.9524,400.0,496,452,2
ON,Senin,50.0,400.0,505,479,0
ON,Senin,49.9896,400.0,511,472,1
ON,Viscol,50.0151,390.0,494,458,3
ON,Tornada,50.1186,350.0,481,463,4
ON,Senin,50.0,400.0,494,470,0
ON,Senin,49.9979,400.0,481,501,1
ON,Senin,50.0169,400.0,485,496,1
ON,Senin,50.0,400.0,484,498,0
ON,Senin,49.9892,400.0,502,453,1
ON,Senin,49.9918,400.0,483,505,1
OFF,Inundatie,0.0,0.0,0,0,5
ON,Senin,49.9991,400.0,501,451,1
ON,Senin,50.0075,400.0,495,507,1
ON,Senin,50.0001,400.0,498,497,1
ON,Senin,50.0136,400.0,519,464,1
ON,Senin,50.0,400.0,504,487,0
ON,Senin,50.0,400.0,480,453,0
ON,Furtuna,49.9227,400.0,506,476,2
ON,Senin,50.0069,400.0,515,493,1
ON,Viscol,49.9473,390.0,507,482,3
ON,Senin,50.0,400.0,498,491,0
ON,Tornada,50.0701,350.0,492,498,4
ON,Senin,50.0055,400.0,505,468,1
ON,Senin,50.0,400.0,507,465,0
ON,Senin,50.0,400.0,506,466,0
ON,Senin,50.0088,400.0,482,489,1
ON,Senin,50.0111,400.0,496,475,1
ON,Senin,50.0,400.0,506,499,0
ON,Senin,50.0,400.0,503,468,0
ON,Senin,50.0,400.0,486,491,0
ON,Senin,50.0,400.0,519,471,0
ON,Senin,50.0,400.0,482,479,0
ON,Senin,50.0,400.0,519,500,0
ON,Senin,50.0,400.0,500,464,0
ON,Senin,50.0077,400.0,502,455,1
ON,Senin,50.0,400.0,487,464,0
ON,Viscol,50.0869,390.0,509,472,3
ON,Senin,50.0,400.0,490,503,0
ON,Senin,50.0,400.0,495,467,0
ON,Senin,49.9942,400.0,487,462,1
ON,Senin,50.0,400.0,494,458,0
ON,Senin,50.0,400.0,510,491,0
ON,Senin,50.0,400.0,488,486,0
ON,Senin,50.0,400.0,519,478,0
ON,Viscol,50.1197,390.0,512,492,3
ON,Senin,49.9974,400.0,495,508,1
ON,Tornada,50.003,350.0,499,463,4
ON,Senin,50.0,400.0,507,460,0
ON,Senin,50.0,400.0,487,453,0
ON,Senin,50.0,400.0,491,508,0
ON,Tornada,50.3243,350.0,517,472,4
ON,Senin,50.004,400.0,509,450,1
ON,Senin,50.0,400.0,514,496,0
ON,Senin,50.0087,400.0,509,454,1
ON,Senin,50.0,400.0,516,457,0
ON,Senin,50.0,400.0,494,461,0
ON,Senin,50.0,400.0,496,481,0
ON,Senin,50.0,400.0,493,474,0
ON,Senin,49.9975,400.0,499,463,1
ON,Senin,50.0,400.0,516,470,0
ON,Senin,50.0,400.0,484,497,0
ON,Senin,50.0,400.0,505,480,0
ON,Senin,49.9983,400.0,489,471,1
ON,Senin,50.0065,400.0,481,496,1
ON,Senin,50.0,400.0,500,502,0
ON,Furtuna,50.0352,400.0,485,465,2
ON,Senin,50.0,400.0,481,453,0
ON,Senin,49.9811,400.0,500,466,1
ON,Senin,50.0,400.0,484,462,0
ON,Senin,50.0,400.0,492,477,0
ON,Senin,50.0,400.0,499,508,0
ON,Senin,50.0,400.0,488,497,0
ON,Furtuna,50.0616,400.0,485,498,2
ON,Senin,50.0,400.0,505,472,0
ON,Senin,50.0,400.0,514,451,0
ON,Tornada,49.7085,350.0,491,472,4
ON,Senin,50.0,400.0,505,494,0
ON,Senin,50.0,400.0,506,492,0
ON,Senin,50.0,400.0,493,468,0
ON,Tornada,49.8888,350.0,505,474,4
ON,Senin,50.0,400.0,495,478,0
ON,Senin,50.0178,400.0,497,507,1
ON,Senin,50.0,400.0,515,493,0
ON,Senin,50.0017,400.0,485,478,1
ON,Senin,50.0176,400.0,488,454,1
ON,Senin,50.0,400.0,497,472,0
ON,Senin,50.0,400.0,489,460,0
ON,Senin,49.9915,400.0,513,458,1
ON,Senin,50.0,400.0,486,509,0
ON,Senin,50.0133,400.0,514,465,1
ON,Senin,50.0,400.0,500,479,0
ON,Senin,50.0,400.0,485,499,0
ON,Senin,50.0,400.0,488,460,0
ON,Viscol,49.9218,390.0,505,482,3
ON,Senin,50.0,400.0,516,458,0
ON,Senin,50.0,400.0,516,484,0
ON,Viscol,50.0077,390.0,496,499,3
OFF,Inundatie,0.0,0.0,0,0,5
ON,Senin,50.0,400.0,481,460,0
ON,Senin,50.0,400.0,517,501,0
ON,Senin,50.0,400.0,493,499,0
ON,Tornada,50.4346,350.0,497,509,4
ON,Viscol,50.1424,390.0,513,476,3
ON,Senin,50.0,400.0,517,459,0
ON,Senin,50.0,400.0,481,484,0
ON,Senin,50.0,400.0,488,460,0
ON,Senin,50.0,400.0,490,456,0
ON,Senin,50.0,400.0,508,500,0
ON,Senin,49.9943,400.0,511,476,1
ON,Senin,50.0,400.0,510,486,0
ON,Senin,50.0,400.0,486,450,0
ON,Senin,50.0,400.0,506,475,0
ON,Furtuna,49.9918,400.0,488,452,2
ON,Viscol,49.9543,390.0,519,487,3
ON,Senin,50.0,400.0,517,466,0
ON,Senin,50.0175,400.0,487,499,1
ON,Senin,49.9841,400.0,505,505,1
ON,Senin,50.0,400.0,508,483,0
ON,Senin,50.0,400.0,482,483,0
ON,Senin,50.0,400.0,489,481,0
ON,Senin,50.0,400.0,503,475,0
ON,Senin,50.0,400.0,495,504,0
ON,Tornada,49.9469,350.0,482,463,4
ON,Senin,50.0,400.0,482,463,0
ON,Viscol,49.9114,390.0,496,497,3
OFF,Inundatie,0.0,0.0,0,0,5
ON,Senin,50.0,400.0,506,499,0
ON,Furtuna,50.0103,400.0,487,487,2
ON,Senin,50.0,400.0,495,485,0
ON,Senin,50.0179,400.0,519,489,1
ON,Senin,50.0,400.0,518,505,0
ON,Senin,50.0123,400.0,516,459,1
ON,Senin,50.0,400.0,492,475,0
ON,Senin,50.0,400.0,483,492,0
ON,Senin,50.0,400.0,505,472,0
ON,Senin,50.0,400.0,501,470,0
ON,Senin,50.0,400.0,517,460,0
ON,Senin,50.0,400.0,504,486,0
ON,Senin,50.0,400.0,510,458,0
ON,Senin,50.0,400.0,487,469,0
ON,Tornada,49.9212,350.0,499,470,4
ON,Furtuna,49.9951,400.0,509,470,2
ON,Furtuna,49.9478,400.0,488,452,2
ON,Senin,49.9898,400.0,495,475,1
ON,Senin,50.0,400.0,510,475,0
ON,Senin,50.0,400.0,508,486,0
ON,Viscol,49.912,390.0,508,482,3
ON,Senin,50.0,400.0,501,462,0
ON,Furtuna,49.9353,400.0,513,453,2
ON,Senin,50.0,400.0,498,496,0
ON,Tornada,50.1977,350.0,505,485,4
ON,Senin,50.0,400.0,487,479,0
ON,Senin,50.0,400.0,483,491,0
ON,Senin,50.0,400.0,504,491,0
ON,Senin,50.0,400.0,496,501,0
ON,Furtuna,49.9223,400.0,506,453,2
ON,Senin,50.0,400.0,497,503,0
ON,Senin,50.0,400.0,485,505,0
ON,Senin,50.0004,400.0,502,471,1
ON,Furtuna,50.0304,400.0,504,476,2
ON,Senin,50.0,400.0,480,482,0
ON,Senin,50.0,400.0,488,454,0
ON,Senin,50.0,400.0,504,467,0
ON,Senin,50.0,400.0,484,496,0
ON,Senin,50.0,400.0,501,493,0
ON,Senin,50.0,400.0,503,496,0
ON,Viscol,50.1494,390.0,492,483,3
ON,Tornada,50.0971,350.0,507,451,4
ON,Senin,50.0,400.0,497,494,0
ON,Viscol,50.1306,390.0,510,478,3
ON,Viscol,50.1133,390.0,500,475,3
ON,Senin,50.0,400.0,518,472,0
ON,Senin,50.0,400.0,514,472,0
ON,Furtuna,50.0296,400.0,519,451,2
ON,Senin,50.0,400.0,500,505,0
ON,Senin,50.0,400.0,507,488,0
ON,Senin,50.0,400.0,484,484,0
ON,Senin,50.0,400.0,481,490,0
ON,Senin,50.0,400.0,505,500,0
ON,Furtuna,50.0305,400.0,513,463,2
ON,Tornada,49.9242,350.0,485,489,4
ON,Senin,50.0,400.0,498,476,0
ON,Senin,50.0,400.0,496,480,0
ON,Senin,50.0,400.0,496,476,0
ON,Senin,50.0,400.0,487,494,0
ON,Senin,50.0191,400.0,494,504,1
ON,Senin,50.0,400.0,515,503,0
ON,Furtuna,49.9525,400.0,513,502,2
ON,Senin,50.0058,400.0,509,467,1
ON,Senin,50.0,400.0,489,508,0
ON,Furtuna,49.9569,400.0,514,495,2
ON,Senin,49.9987,400.0,495,488,1
ON,Senin,50.0,400.0,487,451,0
ON,Senin,50.0,400.0,498,500,0
ON,Senin,50.0,400.0,490,498,0
ON,Senin,50.0,400.0,515,465,0
ON,Senin,50.0,400.0,486,504,0
ON,Viscol,50.1479,390.0,481,506,3
ON,Senin,50.0,400.0,512,501,0
ON,Furtuna,50.0729,400.0,500,473,2
ON,Viscol,50.1363,390.0,504,491,3
ON,Furtuna,49.9938,400.0,503,481,2
ON,Senin,50.0,400.0,506,486,0
ON,Senin,50.0,400.0,486,493,0
ON,Senin,50.0,400.0,480,456,0
ON,Senin,50.0,400.0,502,485,0
ON,Senin,50.0025,400.0,515,506,1
ON,Senin,50.0,400.0,510,458,0
ON,Viscol,49.9334,390.0,510,487,3
ON,Viscol,49.908,390.0,502,479,3
OFF,Inundatie,0.0,0.0,0,0,5
ON,Senin,50.0,400.0,503,491,0
ON,Senin,50.0089,400.0,490,491,1
ON,Senin,50.0,400.0,502,481,0
ON,Senin,50.0,400.0,481,483,0
ON,Senin,50.0,400.0,480,454,0
ON,Senin,50.0,400.0,480,477,0
ON,Tornada,49.6462,350.0,514,491,4
ON,Senin,50.0,400.0,500,469,0
ON,Senin,50.0,400.0,498,459,0
ON,Senin,50.0,400.0,516,469,0
ON,Senin,50.0179,400.0,512,486,1
ON,Senin,50.0,400.0,501,474,0
OFF,Inundatie,0.0,0.0,0,0,5
ON,Tornada,50.2344,350.0,502,451,4
ON,Viscol,50.0987,390.0,494,480,3
ON,Senin,50.0,400.0,507,450,0
ON,Senin,50.0,400.0,488,486,0
ON,Furtuna,50.0492,400.0,511,468,2
ON,Furtuna,49.9683,400.0,507,509,2
ON,Furtuna,50.0718,400.0,499,493,2
ON,Senin,50.0,400.0,481,485,0
ON,Senin,50.0,400.0,486,488,0
ON,Senin,50.0,400.0,518,502,0
ON,Senin,50.0,400.0,491,499,0
ON,Senin,50.0,400.0,484,464,0
ON,Senin,50.0068,400.0,497,471,1
ON,Viscol,50.0034,390.0,500,486,3
ON,Furtuna,50.0167,400.0,480,474,2
ON,Viscol,49.9448,390.0,488,499,3
ON,Senin,49.9875,400.0,506,486,1
ON,Furtuna,50.0797,400.0,508,460,2
ON,Furtuna,50.0104,400.0,499,486,2
ON,Furtuna,50.0635,400.0,517,509,2
ON,Senin,50.0,400.0,512,480,0
ON,Senin,50.0,400.0,518,504,0
ON,Senin,50.0,400.0,486,484,0
ON,Senin,50.0,400.0,499,508,0
ON,Furtuna,49.9516,400.0,486,509,2
ON,Senin,50.0,400.0,500,499,0
ON,Senin,50.0,400.0,513,466,0
ON,Senin,50.0,400.0,499,481,0
ON,Senin,50.0,400.0,494,482,0
ON,Senin,50.0,400.0,512,492,0
ON,Senin,50.0,400.0,509,495,0
ON,Furtuna,50.0675,400.0,498,474,2
ON,Senin,50.0,400.0,496,505,0
ON,Senin,50.0,400.0,512,475,0
ON,Senin,50.0,400.0,497,481,0
ON,Viscol,50.1416,390.0,494,496,3
ON,Senin,50.0,400.0,481,493,0
ON,Senin,50.0,400.0,508,458,0
ON,Tornada,49.9505,350.0,505,494,4
ON,Senin,50.0,400.0,517,475,0
ON,Senin,50.0,400.0,486,472,0
ON,Senin,50.0,400.0,508,465,0
ON,Senin,50.0107,400.0,515,502,1
ON,Furtuna,50.0493,400.0,493,469,2
ON,Senin,50.0042,400.0,515,476,1
ON,Viscol,49.9859,390.0,485,456,3
ON,Senin,50.0,400.0,495,473,0
ON,Senin,50.0,400.0,487,466,0
ON,Furtuna,49.9566,400.0,514,507,2
ON,Senin,50.0,400.0,482,453,0
ON,Senin,50.0,400.0,505,468,0
ON,Tornada,50.4254,350.0,482,502,4
ON,Senin,50.0,400.0,512,467,0
ON,Senin,50.0,400.0,486,507,0
ON,Senin,50.0,400.0,491,454,0
ON,Senin,50.0,400.0,517,471,0
ON,Senin,50.0,400.0,515,475,0
ON,Senin,49.995,400.0,491,470,1
ON,Viscol,49.9351,390.0,491,455,3
ON,Furtuna,50.0018,400.0,513,476,2
ON,Senin,50.0,400.0,502,489,0
ON,Senin,50.0,400.0,514,458,0
ON,Senin,49.9878,400.0,506,506,1
ON,Senin,50.0,400.0,505,456,0
ON,Senin,50.0,400.0,510,492,0
ON,Senin,50.0,400.0,515,497,0
ON,Senin,50.0,400.0,516,507,0
ON,Furtuna,50.0639,400.0,508,489,2
ON,Senin,50.0,400.0,504,491,0
ON,Senin,50.0,400.0,501,508,0
ON,Senin,50.0,400.0,507,496,0
ON,Tornada,49.7523,350.0,499,503,4
ON,Senin,49.992,400.0,519,450,1
ON,Senin,50.0,400.0,518,459,0
ON,Tornada,49.6985,350.0,505,507,4
ON,Senin,50.0,400.0,519,474,0
ON,Senin,50.0,400.0,492,492,0
ON,Senin,49.992,400.0,515,453,1
ON,Senin,50.0,400.0,502,496,0
ON,Senin,50.0108,400.0,497,466,1
ON,Viscol,49.8913,390.0,507,469,3
ON,Senin,50.0,400.0,481,502,0
ON,Senin,50.0,400.0,512,486,0
ON,Senin,49.988,400.0,518,497,1
ON,Senin,50.0,400.0,485,501,0
ON,Senin,49.986,400.0,517,486,1
ON,Senin,50.0,400.0,509,458,0
ON,Viscol,49.8797,390.0,502,503,3
ON,Senin,50.0,400.0,510,461,0
ON,Senin,50.0,400.0,493,506,0
ON,Tornada,49.7713,350.0,519,470,4
ON,Senin,50.0,400.0,485,463,0
ON,Senin,49.9979,400.0,496,493,1
ON,Senin,50.0,400.0,483,476,0
ON,Senin,50.0,400.0,488,506,0
ON,Tornada,49.6453,350.0,506,467,4
ON,Senin,50.0,400.0,511,480,0
ON,Senin,50.0,400.0,515,488,0
ON,Senin,50.0,400.0,502,465,0
ON,Senin,49.9893,400.0,493,475,1
ON,Senin,50.0,400.0,506,492,0
ON,Senin,50.0161,400.0,481,450,1
ON,Senin,50.0,400.0,489,485,0
ON,Senin,50.0,400.0,503,500,0
ON,Viscol,50.0934,390.0,514,485,3
ON,Senin,50.0,400.0,503,473,0
ON,Senin,50.0,400.0,481,455,0
ON,Furtuna,49.9821,400.0,494,508,2
ON,Senin,50.0,400.0,486,498,0
ON,Senin,50.0,400.0,510,493,0
ON,Senin,49.9918,400.0,511,493,1
ON,Senin,50.0,400.0,512,502,0
ON,Senin,50.0,400.0,487,460,0
ON,Senin,49.9934,400.0,488,488,1
ON,Senin,50.0,400.0,496,473,0
ON,Furtuna,49.9697,400.0,503,497,2
ON,Senin,50.0,400.0,509,464,0
ON,Senin,49.9847,400.0,480,451,1
ON,Senin,49.984,400.0,512,473,1
ON,Senin,50.0084,400.0,489,452,1
ON,Senin,49.982,400.0,513,476,1
ON,Senin,50.0027,400.0,512,477,1
ON,Furtuna,49.9862,400.0,513,473,2
ON,Senin,50.0,400.0,485,473,0
ON,Senin,50.0,400.0,492,507,0
ON,Senin,50.0,400.0,493,493,0
ON,Senin,50.0,400.0,509,462,0
ON,Senin,50.0,400.0,480,473,0
ON,Furtuna,50.0507,400.0,507,463,2
ON,Furtuna,50.0269,400.0,490,494,2
ON,Senin,50.0,400.0,517,464,0
ON,Senin,50.0,400.0,510,492,0
ON,Furtuna,49.9238,400.0,509,474,2
ON,Senin,50.0,400.0,486,501,0
ON,Furtuna,49.9524,400.0,488,463,2
ON,Senin,50.0,400.0,513,463,0
ON,Senin,50.0,400.0,504,502,0
ON,Tornada,49.8013,350.0,500,482,4
ON,Senin,50.0,400.0,503,461,0
ON,Senin,50.0,400.0,482,480,0
ON,Senin,50.0,400.0,491,451,0
ON,Senin,50.0,400.0,484,482,0
ON,Senin,50.0084,400.0,480,486,1
ON,Senin,49.9832,400.0,484,505,1
ON,Furtuna,49.9593,400.0,519,500,2
ON,Viscol,49.8579,390.0,511,499,3
ON,Senin,50.0,400.0,508,499,0
ON,Senin,50.0,400.0,506,506,0
ON,Senin,50.0,400.0,493,506,0
ON,Senin,50.0,400.0,487,476,0
ON,Senin,49.9829,400.0,513,471,1
ON,Senin,50.0,400.0,497,459,0
OFF,Inundatie,0.0,0.0,0,0,5
ON,Senin,50.0,400.0,500,506,0
ON,Senin,50.0,400.0,501,450,0
ON,Senin,50.0,400.0,498,473,0
ON,Furtuna,50.0569,400.0,516,468,2
ON,Senin,50.0104,400.0,500,494,1
ON,Senin,50.0,400.0,499,475,0
ON,Furtuna,49.9966,400.0,510,497,2
ON,Senin,50.0,400.0,511,466,0
ON,Senin,49.9834,400.0,481,463,1
ON,Senin,50.0,400.0,498,483,0
ON,Senin,50.0,400.0,510,507,0
ON,Senin,50.0006,400.0,512,467,1
ON,Senin,50.0,400.0,485,471,0
ON,Senin,50.0,400.0,510,451,0
ON,Senin,50.0,400.0,515,499,0
ON,Senin,50.0,400.0,496,474,0
ON,Furtuna,50.0499,400.0,503,505,2
ON,Senin,50.0,400.0,493,460,0
ON,Senin,50.0075,400.0,481,490,1
ON,Senin,50.0,400.0,488,490,0
ON,Senin,50.0,400.0,493,467,0
ON,Furtuna,49.9432,400.0,492,470,2
ON,Senin,50.0,400.0,486,498,0
ON,Senin,50.0,400.0,519,458,0
ON,Senin,50.0,400.0,507,452,0
ON,Senin,50.0,400.0,507,465,0
ON,Senin,49.9962,400.0,508,498,1
ON,Senin,50.0,400.0,494,481,0
ON,Senin,50.0,400.0,502,498,0
OFF,Inundatie,0.0,0.0,0,0,5
ON,Senin,50.0,400.0,511,481,0
ON,Senin,50.0,400.0,509,466,0
ON,Viscol,49.9731,390.0,513,482,3
ON,Tornada,50.2392,350.0,492,461,4
ON,Senin,50.0,400.0,502,472,0
ON,Senin,50.0,400.0,505,473,0
ON,Senin,50.0,400.0,516,468,0
ON,Senin,50.0,400.0,495,467,0
ON,Senin,50.0,400.0,486,473,0
ON,Furtuna,50.0133,400.0,500,450,2
ON,Senin,50.0,400.0,501,460,0
ON,Furtuna,50.0534,400.0,518,466,2
ON,Senin,50.0,400.0,494,464,0
ON,Senin,50.0,400.0,494,464,0
ON,Senin,50.0,400.0,500,474,0
ON,Senin,50.0,400.0,486,452,0
OFF,Inundatie,0.0,0.0,0,0,5
ON,Senin,50.0,400.0,499,508,0
ON,Senin,50.0,400.0,485,472,0
ON,Senin,50.0056,400.0,491,497,1
ON,Senin,50.0,400.0,518,493,0
ON,Senin,50.0,400.0,519,474,0
ON,Senin,50.0,400.0,519,507,0
ON,Senin,50.0,400.0,484,458,0
ON,Tornada,49.5906,350.0,507,477,4
ON,Senin,50.0,400.0,513,506,0
ON,Senin,50.0,400.0,516,497,0
ON,Senin,50.0,400.0,484,500,0
ON,Senin,50.0,400.0,493,451,0
ON,Senin,50.0,400.0,502,462,0
ON,Tornada,49.6224,350.0,495,481,4
ON,Senin,50.0,400.0,509,466,0
ON,Senin,50.0,400.0,483,505,0
ON,Senin,50.0,400.0,506,465,0
ON,Viscol,49.9905,390.0,495,457,3
ON,Senin,49.9876,400.0,490,460,1
ON,Senin,50.0136,400.0,482,487,1
ON,Senin,50.0,400.0,496,465,0
ON,Senin,50.0,400.0,518,451,0
ON,Tornada,49.6791,350.0,484,482,4
ON,Senin,50.0,400.0,490,472,0
ON,Senin,50.004,400.0,489,483,1
ON,Senin,50.0,400.0,502,481,0
ON,Senin,50.0,400.0,481,472,0
ON,Senin,50.0,400.0,515,465,0
ON,Senin,50.0181,400.0,519,490,1
